URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
226,32,0.376106,0.429204,13,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,10,0.322581,0.483871,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,32,0.370558,0.446701,11,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,172,0.17484,0.752665,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,11,0.316872,0.514403,18,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,20,0.233129,0.478528,10,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.247863,0.666667,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,35,0.357057,0.383595,57,1,5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,336,0.112392,0.878963,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,105,0.408408,0.408408,13,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,40,0.486547,0.372197,23,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,105,0.399293,0.399293,12,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,32,0.586957,0.347826,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.205882,0.588235,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,10,0.35443,0.468354,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,19,0.837838,0.054054,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,15,0.0,0.85,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.222222,0.683761,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,10,0.358974,0.461538,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,22,0.264706,0.602941,5,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,0.454545,0.431818,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,82,0.297688,0.601156,11,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,32,0.473684,0.403509,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,290,0.166113,0.82392,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,45,0.474227,0.443299,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,54,0.346883,0.493225,17,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,54,0.345013,0.495957,17,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,16,0.24,0.611429,10,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,18,0.0,0.853659,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,19,0.248447,0.478261,10,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,39,0.541667,0.388889,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.25,0.75,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16,0.0,0.857143,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,48,0.53125,0.390625,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,105,0.386719,0.410156,11,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,128,0.23662,0.670423,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,286,0.164983,0.824916,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,28,0.081081,0.810811,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,32,0.408163,0.408163,11,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,570,0.487931,0.405172,1,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0.0,0.909091,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,96,0.356383,0.521277,9,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,35,0.445415,0.362445,11,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,82,0.307902,0.591281,12,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,126,0.647059,0.301471,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10,0.03125,0.78125,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,32,0.339535,0.465116,13,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,13,0.722222,0.222222,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.282051,0.615385,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.247863,0.649573,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,647,0.919192,0.025974,2,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,10,0.322581,0.522581,9,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,64,0.214286,0.683673,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,32,0.426606,0.380734,11,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,36,0.488889,0.383333,6,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,0.058824,0.735294,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,32,0.38806,0.427861,11,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,20,0.527778,0.361111,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,32,0.478632,0.461538,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,32,0.376623,0.532468,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.264957,0.649573,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,0.633333,0.2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,55,0.537778,0.328889,22,1,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,105,0.389286,0.407143,12,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,32,0.42029,0.5,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,286,0.233108,0.466216,1,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0.2,0.6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.213675,0.700855,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,38,0.269531,0.546875,13,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,23,0.313725,0.54902,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,10,0.35443,0.468354,6,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.239316,0.65812,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,33,0.331288,0.558282,8,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,240,0.540123,0.41358,7,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,32,0.520833,0.416667,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,19,0.240741,0.475309,10,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,14,0.1,0.7625,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,126,0.452756,0.468504,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,12,0.163636,0.745455,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,96,0.318681,0.554945,9,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,112,0.448758,0.427019,29,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16,0.0,0.857143,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,88,0.282051,0.623932,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,16,0.12037,0.787037,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0.375,0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,0.244444,0.511111,6,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,32,0.346405,0.45098,11,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,96,0.311475,0.562842,9,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16,0.47619,0.428571,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,33,0.358974,0.516484,15,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,32,0.380208,0.442708,11,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,55,0.491667,0.368333,29,1,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,144,0.239892,0.668464,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,96,0.308511,0.569149,9,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,36,0.37766,0.43883,48,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,144,0.245283,0.663073,12,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,32,0.214876,0.619835,7,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,33,0.281633,0.587755,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,86,0.345982,0.475446,21,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,33,0.321212,0.569697,8,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,31,0.27193,0.508772,6,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0.8125,0.1875,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,33,0.309091,0.575758,8,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,112,0.573864,0.386364,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
