URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_13,char_14,char_16,char_17,char_18,char_20,char_21,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,label
48,36,0.0,0.708333,1,6,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,24,0.0,0.666667,1,5,12,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,24,0.0,0.727273,1,5,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,24,0.0,0.727273,1,5,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
50,41,0.0,0.68,1,5,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
40,0,0.0,0.575,0,5,17,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,48,0.105263,0.684211,1,6,12,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
33,24,0.0,0.727273,1,5,9,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
33,24,0.0,0.727273,1,5,9,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
13,4,0.0,0.692308,1,2,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
23,0,0.0,0.652174,0,2,8,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
65,32,0.015385,0.569231,1,4,27,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
64,0,0.03125,0.515625,0,1,29,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
39,27,0.0,0.615385,1,5,15,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
54,38,0.0,0.685185,1,6,17,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
52,13,0.0,0.346154,1,2,33,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
50,38,0.0,0.68,1,6,16,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
34,0,0.0,0.588235,0,4,14,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
42,30,0.0,0.690476,1,5,13,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
30,18,0.0,0.666667,1,3,10,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
34,25,0.0,0.705882,1,5,10,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
48,36,0.0,0.75,1,4,12,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
42,32,0.0,0.690476,1,4,13,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
19,0,0.0,0.421053,0,1,11,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
38,0,0.0,0.657895,0,4,13,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
51,36,0.0,0.686275,1,4,16,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
43,26,0.0,0.744186,1,3,11,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
26,13,0.0,0.692308,1,2,8,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
38,26,0.0,0.710526,1,5,11,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
38,26,0.0,0.710526,1,5,11,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
40,24,0.0,0.7,1,4,12,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
27,1,0.0,0.518519,1,1,13,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
56,45,0.0,0.714286,1,3,16,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
55,42,0.0,0.709091,1,4,16,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
58,48,0.0,0.706897,1,2,17,4,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
52,0,0.0,0.692308,0,1,16,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
80,45,0.0,0.7125,2,2,23,4,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
75,0,0.0,0.706667,0,1,22,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
37,23,0.0,0.675676,1,0,12,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
80,0,0.0,0.675,0,3,26,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
34,25,0.0,0.676471,1,3,11,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
29,0,0.0,0.689655,0,3,7,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
68,23,0.014706,0.705882,2,4,19,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
106,20,0.066038,0.773585,2,1,17,4,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
81,23,0.012346,0.679012,3,5,25,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
48,24,0.0,0.6875,1,6,15,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
59,24,0.0,0.711864,1,4,17,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
44,26,0.0,0.75,1,3,11,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
48,26,0.0,0.729167,1,3,13,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
60,49,0.0,0.733333,1,4,16,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
199,188,0.542714,0.135678,1,1,64,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
60,49,0.0,0.733333,1,4,16,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
46,32,0.0,0.673913,1,3,15,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
56,0,0.0,0.607143,0,1,22,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
49,38,0.0,0.653061,1,2,17,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
42,31,0.0,0.690476,1,2,13,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
79,22,0.0,0.544304,1,1,36,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
51,30,0.0,0.705882,1,3,15,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
86,8,0.0,0.686047,1,3,27,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
78,66,0.0,0.717949,1,3,22,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
60,0,0.016667,0.533333,0,4,27,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
40,24,0.0,0.65,1,4,14,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
83,70,0.0,0.73494,1,3,22,4,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
114,98,0.184211,0.614035,1,3,23,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
76,65,0.0,0.736842,1,3,20,4,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
425,59,0.108235,0.816471,2,2,32,6,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
115,80,0.0,0.721739,1,1,32,4,1,1,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
142,62,0.0,0.612676,2,4,55,2,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
137,129,0.0,0.591241,1,4,56,2,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
86,77,0.0,0.72093,1,2,24,2,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
221,186,0.004525,0.723982,1,4,60,14,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
51,39,0.0,0.686275,1,5,16,2,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
110,96,0.0,0.563636,1,4,48,4,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
53,0,0.0,0.528302,0,2,25,4,1,5,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,1
77,60,0.0,0.714286,1,6,22,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
127,43,0.023622,0.685039,2,4,37,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
56,46,0.0,0.625,1,6,21,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
55,46,0.0,0.618182,1,6,21,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
59,49,0.0,0.59322,1,6,24,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
58,47,0.0,0.603448,1,6,23,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
56,46,0.0,0.625,1,6,19,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
58,48,0.0,0.603448,1,6,23,1,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
86,38,0.0,0.686047,1,8,27,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
38,30,0.236842,0.342105,1,2,16,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
39,31,0.0,0.641026,1,2,14,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
36,28,0.277778,0.361111,1,2,13,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
49,41,0.326531,0.346939,1,2,16,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
49,41,0.408163,0.265306,1,2,16,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
23,15,0.043478,0.478261,1,1,11,1,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
35,27,0.0,0.6,1,1,14,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
26,18,0.0,0.576923,1,1,11,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
36,28,0.0,0.611111,1,2,14,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
41,33,0.0,0.609756,1,2,16,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
71,63,0.0,0.71831,1,6,20,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
62,54,0.0,0.66129,1,3,21,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
50,30,0.0,0.72,1,3,14,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
53,41,0.0,0.716981,1,5,15,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
71,56,0.0,0.732394,1,4,19,6,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
57,41,0.0,0.736842,1,4,15,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
34,0,0.0,0.647059,0,1,12,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
44,0,0.0,0.636364,0,3,16,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
72,59,0.0,0.736111,1,4,19,6,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
54,39,0.0,0.722222,1,4,15,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
53,41,0.0,0.716981,1,4,15,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
64,44,0.0,0.6875,1,5,20,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
85,40,0.011765,0.729412,2,4,22,6,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
46,30,0.0,0.695652,1,2,14,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
79,63,0.0,0.734177,1,4,21,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
45,31,0.0,0.666667,1,1,15,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
43,29,0.0,0.651163,1,1,15,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
64,48,0.0,0.703125,1,3,19,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
68,47,0.0,0.735294,1,3,18,4,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
81,62,0.0,0.716049,1,3,23,6,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
71,0,0.0,0.619718,0,4,27,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
68,0,0.0,0.573529,0,4,29,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
48,0,0.0,0.708333,0,4,14,2,1,5,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1
