letter_percentage,XSS_count,evil_char_count,char_11,char_12,char_13,char_14,char_15,char_16,char_17,char_18,char_19,word_1,word_5,word_6,label
0.666667,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.651163,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.681818,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.611111,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.644444,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.710526,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.702703,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.642857,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.690476,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.65,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.676471,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.697674,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675676,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.735294,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.736842,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.707317,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.71875,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.657143,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.69697,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.641026,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.627907,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.692308,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675676,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.657143,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.625,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.658537,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.736842,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.676471,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.705882,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.725,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.647059,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.628571,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.685714,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.648649,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.682927,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.636364,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.658537,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.673913,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.648649,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.71875,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.692308,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.673469,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.648649,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.69697,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.733333,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.685714,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.702703,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.673913,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675676,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.625,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6875,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.69697,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.757576,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.648649,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.651163,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675676,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.697674,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.702703,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.651163,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.657143,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.710526,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.627907,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.69697,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.651163,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1
0.692308,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.657143,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.71875,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6875,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.675,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
0.673913,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
0.666667,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1
